State,Officeholder,Party,Assumed office,title,office,official,campaign,other,Term expires,Law school,Term limits
Alabama,Steve Marshall,Republican,10-Feb-17,,,,,,2023 (term limits),"University of Alabama, Tuscaloosa",2 consecutive terms
Alaska,Treg Taylor,Republican,30-Jan-21,,,,,,Appointed,Brigham Young University,no term limits
American Samoa,Fainu'ulelei Alailima-Utu,Nonpartisan,21-Jan-21,,,,,,Appointed,"University of California, Los Angeles",
Arizona,Mark Brnovich,Republican,5-Jan-15,,,,,,2023 (term limits),University of San Diego,2 consecutive terms
Arkansas,Leslie Rutledge,Republican,13-Jan-15,,,,,,2023 (term limits),"University of Arkansas, Little Rock",
California,Rob Bonta,Democratic,23-Apr-21,,,,,,2023,Yale University,2 terms maximum
Colorado,Phil Weiser,Democratic,8-Jan-19,,,,,,2023,New York University,2 consecutive terms
Connecticut,William Tong,Democratic,9-Jan-19,,,,,,2023,University of Chicago,no term limits
Delaware,Kathy Jennings,Democratic,1-Jan-19,,,,,,2023,Villanova University,no term limits
District of Columbia,Karl Racine,Democratic,2-Jan-15,,,,,,2023,University of Virginia,
Florida,Ashley Moody,Republican,9-Jan-19,,,,,,2023,University of FloridaStetson University (LLM),2 consecutive terms
Georgia,Chris Carr,Republican,1-Nov-16,,,,,,2023,University of Georgia,no term limits
Guam,Leevin Camacho,Independent,7-Jan-19,,,,,,2023,Boston University,
Hawaii,Holly ShikadaActing,Democratic,10-Dec-21,,,,,,Appointed,"University of Hawaii, Manoa",no term limits
Idaho,Lawrence Wasden,Republican,6-Jan-03,,,,,,2023,"University of Idaho, Moscow",no term limits
Illinois,Kwame Raoul,Democratic,14-Jan-19,,,,,,2023,Illinois Institute of Technology,no term limits
Indiana,Todd Rokita,Republican,11-Jan-21,,,,,,2025,"Indiana University, Indianapolis",no term limits
Iowa,Tom Miller,Democratic,6-Jan-95,,,,,,2023,Harvard University,no term limits
Kansas,Derek Schmidt,Republican,10-Jan-11,,,,,,2023,Georgetown University,no term limits
Kentucky,Daniel Cameron,Republican,17-Dec-19,,,,,,2024,University of Louisville,2 consecutive terms
Louisiana,Jeff Landry,Republican,11-Jan-16,,,,,,2024,"Loyola University, New Orleans",no term limits
Maine,Aaron Frey,Democratic,2-Jan-19,,,,,,2023 (Elected by the Legislature),Roger Williams University,4 two year terms
Maryland,Brian Frosh,Democratic,6-Jan-15,,,,,,2023,Columbia University,no term limits
Massachusetts,Maura Healey,Democratic,21-Jan-15,,,,,,2023,Northeastern University,no term limits
Michigan,Dana Nessel,Democratic,1-Jan-19,,,,,,2023,Wayne State University,2 terms max
Minnesota,Keith Ellison,Democratic,7-Jan-19,,,,,,2023,"University of Minnesota, Twin Cities",no term limits
Mississippi,Lynn Fitch,Republican,9-Jan-20,,,,,,2024,"University of Mississippi, Oxford",no term limits
Missouri,Eric S. Schmitt,Republican,3-Jan-19,,,,,,2025,Saint Louis University,no term limits
Montana,Austin Knudsen,Republican,4-Jan-21,,,,,,2025,University of Montana,2 terms in 16 year period
Nebraska,Doug Peterson,Republican,8-Jan-15,,,,,,2023,Pepperdine University,no term limits
Nevada,Aaron Ford,Democratic,7-Jan-19,,,,,,2023,"Ohio State University, Columbus",2 terms max
New Hampshire,John Formella,Republican,22-Apr-21,,,,,,2025 (Appointed),George Washington University,no term limits
New Jersey,Matt PlatkinActing,Democratic,14-Feb-22,,,,,,Appointed,Stanford University,no term limits
New Mexico,Hector Balderas,Democratic,1-Jan-15,,,,,,2023 (term limits),"University of New Mexico, Albuquerque",2 consecutive terms
New York,Letitia James,Democratic,1-Jan-19,,,,,,2023,Howard University,no term limits
North Carolina,Josh Stein,Democratic,1-Jan-17,,,,,,2025,Harvard University,no term limits
North Dakota,Drew Wrigley,Republican,9-Feb-22,,,,,,2023,American University,no term limits
Northern Mariana Islands,Edward Manibusan,Democratic,13-Jan-15,,,,,,2023,Gonzaga University,
Ohio,Dave Yost,Republican,14-Jan-19,,,,,,2023,Capital University,2 consecutive terms
Oklahoma,John O'Connor,Republican,23-Jul-21,,,,,,2023,University of Tulsa,2 terms max
Oregon,Ellen Rosenblum,Democratic,29-Jun-12,,,,,,2025,University of Oregon,no term limits
Pennsylvania,Josh Shapiro,Democratic,17-Jan-17,,,,,,2025,Georgetown University,2 consecutive terms
Puerto Rico[7],Domingo Emanuelli,New Progressive,2-Jan-21,,,,,,Appointed,"University of Puerto Rico, RÃ­o Piedras",
Rhode Island,Peter Neronha,Democratic,1-Jan-19,,,,,,2023,Boston College,2 consecutive terms
South Carolina,Alan Wilson,Republican,12-Jan-11,,,,,,2023,"University of South Carolina, Columbia",no term limits
South Dakota,Jason Ravnsborg,Republican,5-Jan-19,,,,,,2023,"University of South Dakota, Vermillion",2 consecutive terms
Tennessee,Herbert Slatery,Republican,1-Oct-14,,,,,,2022 (Elected by State Supreme Court),"University of Tennessee, Knoxville",no term limits
Texas,Ken Paxton,Republican,5-Jan-15,,,,,,2023,University of Virginia,no term limits
U.S. Virgin Islands,Denise George-Counts,Independent,14-May-19,,,,,,Appointed,Howard University,
Utah,Sean Reyes,Republican,30-Dec-13,,,,,,2025,"University of California, Berkeley",no term limits
Vermont,T. J. Donovan,Democratic,5-Jan-17,,,,,,2023,Suffolk University,no term limits
Virginia,Jason Miyares,Republican,15-Jan-22,,,,,,2026,College of William and Mary,no term limits
Washington,Bob Ferguson,Democratic,16-Jan-13,,,,,,2025,New York University,no term limits
West Virginia,Patrick Morrisey,Republican,14-Jan-13,,,,,,2025,"Rutgers University, Newark",no term limits
Wisconsin,Josh Kaul,Democratic,7-Jan-19,,,,,,2023,Stanford University,no term limits
Wyoming,Bridget Hill,Republican,7-Jan-19,,,,,,Appointed,University of Wyoming,no term limits
